ND SHOT TYPES	Total	PtEnd---%	Winner--%	IndFcd--%	UnfErr--%	SvReturn	inPtsW--%	inPtsL--%
Total	402	84 (21%)	22 (5%)	25 (6%)	36 (9%)	79 (20%)	244 (61%)	158 (39%)
								
Forehand side	199	48 (24%)	17 (9%)	13 (7%)	18 (9%)	32 (16%)	120 (60%)	79 (40%)
Backhand side	203	36 (18%)	5 (2%)	12 (6%)	18 (9%)	47 (23%)	124 (61%)	79 (39%)
								
FH GS (top/flt/slc)	194	44 (23%)	14 (7%)	12 (6%)	18 (9%)	32 (16%)	115 (59%)	79 (41%)
BH GS (top/flt/slc)	184	24 (13%)	3 (2%)	7 (4%)	14 (8%)	47 (26%)	113 (61%)	71 (39%)
								
Baseline shots	390	76 (19%)	18 (5%)	22 (6%)	36 (9%)	79 (20%)	233 (60%)	157 (40%)
Net shots	12	8 (67%)	4 (33%)	3 (25%)	0 (0%)	0 (0%)	11 (92%)	1 (8%)
								
Groundstrokes (top/flt)	358	66 (18%)	16 (4%)	19 (5%)	31 (9%)	76 (21%)	218 (61%)	140 (39%)
Dropshots	11	7 (64%)	1 (9%)	2 (18%)	4 (36%)	0 (0%)	4 (36%)	7 (64%)
Lobs	1	1 (100%)	0 (0%)	1 (100%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)
								
Volleys	9	7 (78%)	3 (33%)	3 (33%)	0 (0%)	0 (0%)	8 (89%)	1 (11%)
Half-volleys	1	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)
Swinging volleys	2	1 (50%)	1 (50%)	0 (0%)	0 (0%)	0 (0%)	2 (100%)	0 (0%)
								
Forehands (top/flt)	192	43 (22%)	13 (7%)	12 (6%)	18 (9%)	32 (17%)	114 (59%)	78 (41%)
Backhands (top/flt)	166	23 (14%)	3 (2%)	7 (4%)	13 (8%)	44 (27%)	104 (63%)	62 (37%)
FH slice/chip	2	1 (50%)	1 (50%)	0 (0%)	0 (0%)	0 (0%)	1 (50%)	1 (50%)
BH slice/chip	18	1 (6%)	0 (0%)	0 (0%)	1 (6%)	3 (17%)	9 (50%)	9 (50%)
BH drop shot	11	7 (64%)	1 (9%)	2 (18%)	4 (36%)	0 (0%)	4 (36%)	7 (64%)
BH lob	1	1 (100%)	0 (0%)	1 (100%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)
								
FH volley	3	3 (100%)	2 (67%)	1 (33%)	0 (0%)	0 (0%)	3 (100%)	0 (0%)
BH volley	6	4 (67%)	1 (17%)	2 (33%)	0 (0%)	0 (0%)	5 (83%)	1 (17%)
BH half-volley	1	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)
FH swinging volley	2	1 (50%)	1 (50%)	0 (0%)	0 (0%)	0 (0%)	2 (100%)	0 (0%)
